ID	Roman	Arabic
V1232	Abdereshid	عبد الرشيد
V1233	Abderezak	عبد الرزاق
V1234	Abderezzak	عبد الرزاق
V1235	Abderhaman	عبد الرحمن
V1236	Abderhamn	عبد الرحمن
V1237	Abderhim	عبد الرحيم
V1238	Abderhman	عبد الرحمن
V1239	Abderhmane	عبد الرحمن
V1240	Abderhmen	عبد الرحمن
V1241	Abderihem	عبد الرحيم
V1242	Abderihim	عبد الرحيم
V1243	Abderihman	عبد الرحمن
V1244	Abderman	عبد الرحمن
V1245	Abdermane	عبد الرحمن
V1246	Abderoef	عبد الرؤوف
V1247	Abderoff	عبد الرؤوف
V1248	Abderoheman	عبد الرحمن
V1249	Abderoman	عبد الرحمن
V1250	Abderoof	عبد الرؤوف
V1251	Abderooof	عبد الرؤوف
V1252	Abderouf	عبد الرؤوف
V1253	Abderrachid	عبد الرشيد
V1254	Abderrafi	عبد الرافع
V1255	Abderrafik	عبد الرفيق
V1256	Abderrahaman	عبد الرحمن
V1257	Abderrahim	عبد الرحيم
V1258	Abderrahmaan	عبد الرحمن
V1259	Abderrahmaine	عبد الرحمن
V1260	Abderrahman	عبد الرحمن
V1261	Abderrahmane	عبد الرحمن
V1262	Abderrahmen	عبد الرحمن
V1263	Abderrahmene	عبد الرحمن
V1264	Abderrahmman	عبد الرحمن
V1265	Abderrahnan	عبد الرحمن
V1266	Abderraman	عبد الرحمن
V1267	Abderramane	عبد الرحمن
V1268	Abderraouf	عبد الرؤوف
V1269	Abderrazak	عبد الرزاق
V1270	Abderrazaq	عبد الرزاق
V1271	Abderrazek	عبد الرازق
V1272	Abderrazeq	عبد الرازق
V1273	Abderrazik	عبد الرازق
V1274	Abderrazzak	عبد الرزاق
V1275	Abderrazzaq	عبد الرزاق
V1276	Abderrezag	عبد الرزاق
V1277	Abderrezak	عبد الرزاق
V1278	Abderrezaq	عبد الرزاق
V1279	Abderrezzak	عبد الرزاق
V1280	Abderrezzaq	عبد الرزاق
V1281	Abderrhman	عبد الرحمن
V1282	Abderrozaq	عبد الرزاق
V1283	Abderrsak	عبد الرزاق
V1284	Abderrzak	عبد الرزاق
V1285	Abdersake	عبد الرزاق
V1286	Abderssoul	عبد الرسول
V1287	Abderuhman	عبد الرحمن
V1288	Abderuzak	عبد الرزاق
V1289	Abderzak	عبد الرزاق
V1290	Abdesakur	عبد الشكور
V1291	Abdesalam	عبد السلام
V1292	Abdesamad	عبد الصمد
V1293	Abdeselam	عبد السلام
V1294	Abdeshakoor	عبد الشكور
V1295	Abdeshakur	عبد الشكور
V1296	Abdeshikur	عبد الشكور
V1297	Abdeshikure	عبد الشكور
V1298	Abdeshkor	عبد الشكور
V1299	Abdeshkur	عبد الشكور
V1300	Abdeshukur	عبد الشكور
V1301	Abdeslam	عبد السلام
V1302	Abdeslem	عبد السلام
V1303	Abdessadek	عبد الصادق
V1304	Abdessalam	عبد السلام
V1305	Abdessalem	عبد السلام
V1306	Abdessamad	عبد الصمد
V1307	Abdessamed	عبد الصمد
V1308	Abdessamia	عبد السميع
V1309	Abdesselam	عبد السلام
V1310	Abdesselem	عبد السلام
V1311	Abdessellam	عبد السلام
V1312	Abdesslam	عبد السلام
V1313	Abdesslem	عبد السلام
V1314	Abdeulahi	عبد الله
V1315	Abdeulkader	عبد القادر
V1316	Abdeulkadir	عبد القادر
V1317	Abdeullah	عبد الله
V1318	Abdeullahi	عبد الله
V1319	Abdeullh	عبد الله
V1320	Abdeulrhman	عبد الرحمن
V1321	Abdeurahman	عبد الرحمن
V1322	Abdewahab	عبد الوهاب
V1323	Abdewahed	عبد الواحد
V1324	Abdewahid	عبد الواحد
V1325	Abdewase	عبد الواسع
V1326	Abdewasei	عبد الواسع
V1327	Abdewasie	عبد الواسع
V1328	Abdfatah	عبد الفتاح
V1329	Abdfattah	عبد الفتاح
V1330	Abdfayyad	عبد الفياض
V1331	Abdfetah	عبد الفتاح
V1332	Abdfita	عبد الفتاح
V1333	Abdfitah	عبد الفتاح
V1334	Abdgafar	عبد الغفار
V1335	Abdgani	عبد الغني
V1336	Abdh	عبد الله
V1337	Abdhadi	عبد الهادي
V1338	Abdhady	عبد الهادي
V1339	Abdhah	عبد االله
V1340	Abdhakim	عبد الحكيم
V1341	Abdhala	عبد االله
V1342	Abdhalla	عبد االله
V1343	Abdhallah	عبد االله
V1344	Abdhameid	عبد الحميد
V1345	Abdhamid	عبد الحميد
V1346	Abdhammed	عبد الحميد
V1347	Abdhassan	عبد الحسن
V1348	Abdhirahman	عبد الرحمن
V1349	Abdhkim	عبد الحكيم
V1350	Abdhlla	عبد الله
V1351	Abdhllah	عبد الله
V1352	Abdhrahman	عبد الرحمن
V1353	Abdhrashid	عبد الرشيد
V1354	Abdhrhaman	عبد الرحمن
V1355	Abdhurahman	عبد الرحمن
V1356	Abdhye	عبد الله
V1357	Abdi adan	عبد الآذان
V1358	Abdi aden	عبد الآذان
V1359	Abdi dahir	عبد الظاهر
V1360	Abdi fataah	عبد الفتاح
V1361	Abdi fathah	عبد الفتاح
V1362	Abdi fitah	عبد الفتاح
V1363	Abdi rashiid	عبد الرشيد
V1364	Abdi risaq	عبد الرزاق
V1365	Abdi rizaaq	عبد الرزاق
V1366	Abdi rizaq	عبد الرزاق
V1367	Abdi shafi	عبد الشافي
V1368	Abdia	عبد الله
V1369	Abdiah	عبد الله
V1370	Abdiahmed	عبد الأحمد
V1371	Abdiakim	عبد الحكيم
V1372	Abdialilaah	عبد الإله
V1373	Abdialrahman	عبد الرحمن
V1374	Abdiarhman	عبد الرحمن
V1375	Abdiases	عبد العزيز
V1376	Abdiasiis	عبد العزيز
V1377	Abdiasis	عبد العزيز
V1378	Abdiatif	عبد اللطيف
V1379	Abdiaziiz	عبد العزيز
V1380	Abdiazis	عبد العزيز
V1381	Abdiaziz	عبد العزيز
V1382	Abdiazizov	عبد العزيزوف
V1383	Abdibari	عبد الباريء
V1384	Abdibasid	عبد الباسط
V1385	Abdibasit	عبد الباسط
V1386	Abdichaakour	عبد الشكور
V1387	Abdichakour	عبد الشكور
V1388	Abdidaahir	عبد الظاهر
V1389	Abdidahir	عبد الظاهر
V1390	Abdidulla	عبد الله
V1391	Abdieilah	عبد الإله
V1392	Abdielah	عبد الإله
V1393	Abdierhman	عبد الرحمن
V1394	Abdifaiah	عبد الفتاح
V1395	Abdifarhan	عبد الفرحان
V1396	Abdifata	عبد الفتاح
V1397	Abdifataah	عبد الفتاح
V1398	Abdifatah	عبد الفتاح
V1399	Abdifateh	عبد الفتاح
V1400	Abdifath	عبد الفتاح
V1401	Abdifatma	عبد الفاطمة
V1402	Abdifazah	عبد الفتاح
V1403	Abdifeetah	عبد الفتاح
V1404	Abdifetah	عبد الفتاح
V1405	Abdifita	عبد الفتاح
V1406	Abdifitah	عبد الفتاح
V1407	Abdiftah	عبد الفتاح
V1408	Abdigaadir	عبد القادر
V1409	Abdigaani	عبد الغني
V1410	Abdigadir	عبد القادر
V1411	Abdigafar	عبد الغفار
V1412	Abdigahafar	عبد الغفار
V1413	Abdigani	عبد الغني
V1414	Abdighani	عبد الغني
V1415	Abdigofur	عبد الغفور
V1416	Abdih	عبد الله
V1417	Abdihabib	عبد الحبيب
V1418	Abdihadi	عبد الهادي
V1419	Abdihafeed	عبد الحفيظ
V1420	Abdihafid	عبد الحفيظ
V1421	Abdihak	عبد الحق
V1422	Abdihakim	عبد الحكيم
V1423	Abdihakimov	عبد الحكيموف
V1424	Abdihakimova	عبد الحكيموفا
V1425	Abdihalem	عبد الحليم
V1426	Abdihalim	عبد الحليم
V1427	Abdihamed	عبد الحميد
V1428	Abdihameed	عبد الحميد
V1429	Abdihamid	عبد الحميد
V1430	Abdihaq	عبد الحق
V1431	Abdihassan	عبد الحسن
V1432	Abdihmid	عبد الحميد
V1433	Abdihussein	عبد الحسين
V1434	Abdiikadir	عبد القادر
V1435	Abdijabar	عبد الجبار
V1436	Abdijabbar	عبد الجبار
V1437	Abdijabbarov	عبد الجباروف
V1438	Abdijabbarova	عبد الجباروفا
V1439	Abdijaleel	عبد الجليل
V1440	Abdijalil	عبد الجليل
V1441	Abdijalilov	عبد الجليلوف
V1442	Abdikaafi	عبد الكافي
V1443	Abdikadar	عبد القادر
V1444	Abdikadeer	عبد القدير
V1445	Abdikader	عبد القادر
V1446	Abdikadir	عبد القادر
V1447	Abdikadirov	عبد القادروف
V1448	Abdikadirova	عبد القادروفا
V1449	Abdikadr	عبد القادر
V1450	Abdikadyr	عبد القادر
V1451	Abdikadyrov	عبد القادروف
V1452	Abdikadyrova	عبد القادروفا
V1453	Abdikafi	عبد الكافي
V1454	Abdikalik	عبد الخالق
V1455	Abdikalikov	عبد الخالقوف
V1456	Abdikalikova	عبد الخالقوفا
V1457	Abdikani	عبد الغني
V1458	Abdikareem	عبد الكريم
V1459	Abdikareim	عبد الكريم
V1460	Abdikarem	عبد الكريم
V1461	Abdikariim	عبد الكريم
V1462	Abdikarim	عبد الكريم
V1463	Abdikarimov	عبد الكريموف
V1464	Abdikarimova	عبد الكريموفا
V1465	Abdikerim	عبد الكريم
V1466	Abdikerimov	عبد الكريموف
V1467	Abdikerimova	عبد الكريموفا
V1468	Abdikhadir	عبد القادر
V1469	Abdikhadirova	عبد القادروفا
V1470	Abdikhalig	عبد الخالق
V1471	Abdikhalik	عبد الخالق
V1472	Abdikhalikov	عبد الخالقوف
V1473	Abdikhalikova	عبد الخالقوفا
V1474	Abdikhaliq	عبد الخالق
V1475	Abdikkrim	عبد الكريم
V1476	Abdikrim	عبد الكريم
V1477	Abdil	عبد الله
V1478	Abdil aziz	عبد العزيز
V1479	Abdil ghani	عبد الغني
V1480	Abdil hadi	عبد الهادي
V1481	Abdil hakim	عبد الحكيم
V1482	Abdil ilah	عبد الإله
V1483	Abdil jabbar	عبد الجبار
V1484	Abdil jalil	عبد الجليل
V1485	Abdil jelil	عبد الجليل
V1486	Abdil kader	عبد القادر
V1487	Abdil kadir	عبد القادر
V1488	Abdil karim	عبد الكريم
V1489	Abdil manan	عبد المنان
V1490	Abdil nasser	عبد الناصر
V1491	Abdil qani	عبد الغني
V1492	Abdil qayyum	عبد القيوم
V1493	Abdil rashid	عبد الرشيد
V1494	Abdil shakour	عبد الشكور
V1495	Abdil wahab	عبد الوهاب
V1496	Abdil wahid	عبد الواحد
V1497	Abdil wehab	عبد الوهاب
V1498	Abdila	عبد الله
V1499	Abdilah	عبد الله
V1500	Abdilahi	عبد الله
V1501	Abdilahy	عبد الله
V1502	Abdilai	عبد الله
V1503	Abdilak	عبد الحق
V1504	Abdilakhat	عبد الأحد
V1505	Abdilakhatov	عبد الأحدوف
V1506	Abdilakhatova	عبد الأحدوفا
V1507	Abdilakim	عبد الحكيم
V1508	Abdilakov	عبد الحقوف
V1509	Abdilakova	عبد الحقوفا
V1510	Abdilarhman	عبد الرحمن
V1511	Abdilasis	عبد العزيز
V1512	Abdilateef	عبد اللطيف
V1513	Abdilatef	عبد اللطيف
V1514	Abdilatif	عبد اللطيف
V1515	Abdilattif	عبد اللطيف
V1516	Abdilaye	عبد الله
V1517	Abdilaziz	عبد العزيز
V1518	Abdilazizov	عبد العزيزوف
V1519	Abdilazizova	عبد العزيزوفا
V1520	Abdilbaki	عبد الباقي
V1521	Abdilbari	عبد الباريء
V1522	Abdilbasid	عبد الباسط
V1523	Abdilbasit	عبد الباسط
V1524	Abdilbassit	عبد الباسط
V1525	Abdile	عبد الله
V1526	Abdilfata	عبد الفتاح
V1527	Abdilfatah	عبد الفتاح
V1528	Abdilftah	عبد الفتاح
V1529	Abdilgader	عبد القادر
V1530	Abdilgadir	عبد القادر
V1531	Abdilgadr	عبد القادر
V1532	Abdilgafar	عبد الغفار
V1533	Abdilgani	عبد الغني
V1534	Abdilghani	عبد الغني
V1535	Abdilh	عبد الله
V1536	Abdilhade	عبد الهادي
V1537	Abdilhadi	عبد الهادي
V1538	Abdilhafez	عبد الحفيظ
V1539	Abdilhai	عبد الحي
V1540	Abdilhakim	عبد الحكيم
V1541	Abdilhaleem	عبد الحليم
V1542	Abdilhameed	عبد الحميد
V1543	Abdilhamid	عبد الحميد
V1544	Abdilhamit	عبد الحميد
V1545	Abdilhay	عبد الحي
V1546	Abdilhi	عبد الله
V1547	Abdili	عبد الله
V1548	Abdiliahi	عبد الإله
V1549	Abdililah	عبد الإله
V1550	Abdiljabbar	عبد الجبار
V1551	Abdiljalil	عبد الجليل
V1552	Abdilkader	عبد القادر
V1553	Abdilkadir	عبد القادر
V1554	Abdilkadr	عبد القادر
V1555	Abdilkaram	عبد الكريم
V1556	Abdilkarim	عبد الكريم
V1557	Abdilkarm	عبد الكريم
V1558	Abdilkasim	عبد القاسم
V1559	Abdilkdir	عبد القدير
V1560	Abdilkedir	عبد القدير
V1561	Abdilkerim	عبد الكريم
V1562	Abdilkhader	عبد القادر
V1563	Abdilkhadir	عبد القادر
V1564	Abdilkhalid	عبد الخالد
V1565	Abdilkhalik	عبد الخالق
V1566	Abdilkhaliq	عبد الخالق
V1567	Abdilkrem	عبد الكريم
V1568	Abdilkrim	عبد الكريم
V1569	Abdilla	عبد الله
V1570	Abdillaa	عبد الله
V1571	Abdillaah	عبد الله
V1572	Abdillaahi	عبد الله
V1573	Abdillah	عبد الله
V1574	Abdillaha	عبد الله
V1575	Abdillahi	عبد الله
V1576	Abdillatif	عبد اللطيف
V1577	Abdillaye	عبد الله
V1578	Abdille	عبد الله
V1579	Abdilleh	عبد الله
V1580	Abdilletif	عبد اللطيف
V1581	Abdillh	عبد الله
V1582	Abdillkader	عبد القادر
V1583	Abdilllahi	عبد الله
V1584	Abdilmagid	عبد المجيد
V1585	Abdilmajed	عبد الماجد
V1586	Abdilmajid	عبد المجيد
V1587	Abdilmalik	عبد الملك
V1588	Abdilmalk	عبد الملك
V1589	Abdilmelik	عبد الملك
V1590	Abdilmohamed	عبد المحمد
V1591	Abdilmuhsin	عبد المحسن
V1592	Abdilmumin	عبد المؤمن
V1593	Abdilmutalib	عبد المطلب
V1594	Abdilnasir	عبد الناصر
V1595	Abdilnasser	عبد الناصر
V1596	Abdilqadir	عبد القدير
V1597	Abdilqaliq	عبد الخالق
V1598	Abdilqani	عبد الغني
V1599	Abdilrahaman	عبد الرحمن
V1600	Abdilrahim	عبد الرحيم
V1601	Abdilrahman	عبد الرحمن
V1602	Abdilrahmane	عبد الرحمن
V1603	Abdilrahmman	عبد الرحمن
V1604	Abdilraizag	عبد الرزاق
V1605	Abdilraman	عبد الرحمن
V1606	Abdilrashid	عبد الرشيد
V1607	Abdilrauf	عبد الرؤوف
V1608	Abdilrazak	عبد الرزاق
V1609	Abdilrazeq	عبد الرازق
V1610	Abdilrazik	عبد الرازق
V1611	Abdilraziq	عبد الرازق
V1612	Abdilrehim	عبد الرحيم
V1613	Abdilrehman	عبد الرحمن
V1614	Abdilreman	عبد الرحمن
V1615	Abdilrizak	عبد الرزاق
V1616	Abdilrrhman	عبد الرحمن
V1617	Abdilsalam	عبد السلام
V1618	Abdilsattar	عبد الستار
V1619	Abdilshakur	عبد الشكور
V1620	Abdilshokur	عبد الشكور
V1621	Abdilsselam	عبد السلام
V1622	Abdiltif	عبد اللطيف
V1623	Abdilvohid	عبد الواحد
V1624	Abdilwahab	عبد الوهاب
V1625	Abdilwahd	عبد الواحد
V1626	Abdilwahed	عبد الواحد
V1627	Abdilwahid	عبد الواحد
V1628	Abdilwakil	عبد الوكيل
V1629	Abdilwaris	عبد الوارث
V1630	Abdilziz	عبد العزيز
V1631	Abdimagid	عبد المجيد
V1632	Abdimajed	عبد المجيد
V1633	Abdimajid	عبد المجيد
V1634	Abdimalik	عبد الملك
V1635	Abdimalikov	عبد الملكوف
V1636	Abdimalikova	عبد الملكوفا
V1637	Abdimallik	عبد الملك
V1638	Abdimegid	عبد المجيد
V1639	Abdimohamad	عبد المحمد
V1640	Abdimohamed	عبد المحمد
V1641	Abdimohammd	عبد المحمد
V1642	Abdimohammed	عبد المحمد
V1643	Abdimuhammed	عبد المحمد
V1644	Abdimuhsin	عبد المحسن
V1645	Abdimukhtar	عبد المختار
V1646	Abdimuktarov	عبد مختاروف
V1647	Abdinabi	عبد النبي
V1648	Abdinafic	عبد النافع
V1649	Abdinaser	عبد الناصر
V1650	Abdinasir	عبد الناصر
V1651	Abdinasr	عبد الناصر
V1652	Abdinasser	عبد الناصر
V1653	Abdinassir	عبد الناصر
V1654	Abdinnasir	عبد الناصر
V1655	Abdinoor	عبد النور
V1656	Abdinour	عبد النور
V1657	Abdinur	عبد النور
V1658	Abdiohrhman	عبد الرحمن
V1659	Abdiomer	عبد العمر
V1660	Abdiow	عبده
V1661	Abdipattakhova	عبد الفتاحوفا
V1662	Abdiqaadir	عبد القادر
V1663	Abdiqadar	عبد القادر
V1664	Abdiqadir	عبد القادر
V1665	Abdiqani	عبد الغني
V1667	Abdir hman	عبد الرحمن
V1668	Abdir rahman	عبد الرحمن
V1669	Abdiraashd	عبد الرشيد
V1670	Abdirab	عبد الرب
V1671	Abdirabi	عبد الرب
V1672	Abdirabo	عبد الرب
V1673	Abdirachid	عبد الرشيد
V1674	Abdirahahman	عبد الرحمن
V1675	Abdirahaman	عبد الرحمن
V1676	Abdirahamn	عبد الرحمن
V1677	Abdirahan	عبد الرحمن
V1678	Abdiraheem	عبد الرحيم
V1679	Abdirahem	عبد الرحيم
V1680	Abdirahhman	عبد الرحمن
V1681	Abdirahim	عبد الرحيم
V1682	Abdirahiman	عبد الرحمن
V1683	Abdirahimov	عبد الرحيموف
V1684	Abdirahimova	عبد الرحيموفا
V1685	Abdirahmaan	عبد الرحمن
V1686	Abdirahmain	عبد الرحمن
V1687	Abdirahman	عبد الرحمن
V1688	Abdirahmanov	عبد الرحمنوف
V1689	Abdirahmanova	عبد الرحمنوفا
V1690	Abdirahmen	عبد الرحمن
V1691	Abdirahmn	عبد الرحمن
V1692	Abdiraim	الرحيم
V1693	Abdiraimov	الرحيموف
V1694	Abdiraimova	الرحيموفا
V1695	Abdirakhim	عبد الرحيم
V1696	Abdirakhimov	عبد الرحيموف
V1697	Abdirakhimova	عبد الرحيموفا
V1698	Abdirakhman	عبد الرحمن
V1699	Abdirakhmanov	عبد الرحمنوف
V1700	Abdirakhmanova	عبد الرحمنوفا
V1701	Abdirakhmon	عبد الرحمن
V1702	Abdirakhmonov	عبد الرحمنوف
V1703	Abdiraman	عبد الرحمن
V1704	Abdiramanov	عبد الرحمنوف
V1705	Abdirashid	عبد الرشيد
V1706	Abdirazak	عبد الرزاق
V1707	Abdirazakov	عبد الرزاقوف
V1708	Abdirazakova	عبد الرزاقوفا
V1709	Abdirehman	عبد الرحمن
V1710	Abdirhaman	عبد الرحمن
V1711	Abdirhim	عبد الرحيم
V1712	Abdirhman	عبد الرحمن
V1713	Abdirihman	عبد الرحمن
V1714	Abdirisak	عبد الرزاق
V1715	Abdirisaq	عبد الرزاق
V1716	Abdirizak	عبد الرزاق
V1717	Abdirizaq	عبد الرزاق
V1718	Abdirman	عبد الرحمن
V1719	Abdirohaman	عبد الرحمن
V1720	Abdirohman	عبد الرحمن
V1721	Abdirov	عبد الروف
V1722	Abdirrahman	عبد الرحمن
V1723	Abdirrashid	عبد الرشيد
V1724	Abdirrehman	عبد الرحمن
V1725	Abdirrhman	عبد الرحمن
V1726	Abdirshed	عبد الرشيد
V1727	Abdirshid	عبد الرشيد
V1728	Abdirzak	عبد الرزاق
V1729	Abdirzaq	عبد الرزاق
V1730	Abdisalaam	عبد السلام
V1731	Abdisalam	عبد السلام
V1732	Abdisalamov	عبد السلاموف
V1733	Abdisalamova	عبد السلاموفا
V1734	Abdisallam	عبد السلام
V1735	Abdisalm	عبد السلام
V1736	Abdisamad	عبد الصمد
V1737	Abdisamat	عبد الصمد
V1738	Abdisamatov	عبد الصمدوف
V1739	Abdisamatova	عبد الصمدوفا
V1740	Abdiselam	عبد السلام
V1741	Abdishaikh	عبد الشيخ
V1742	Abdishakir	عبد الشاكر
V1743	Abdishakoor	عبد الشكور
V1744	Abdishakor	عبد الشكور
V1745	Abdishakour	عبد الشكور
V1746	Abdishakur	عبد الشكور
V1747	Abdisharif	عبد الشريف
V1748	Abdisheik	عبد الشيخ
V1749	Abdisheikh	عبد الشيخ
V1750	Abdishkur	عبد الشكور
V1751	Abdishukri	عبد الشكور
V1752	Abdishukur	عبد الشكور
V1753	Abdishukurov	عبد الشكوروف
V1754	Abdishukurova	عبد الشكوروفا
V1755	Abdislam	عبد السلام
V1756	Abdissalam	عبد السلام
V1757	Abdissalamov	عبد السلاموف
V1758	Abdissamad	عبد الصمد
V1759	Abdisselam	عبد السلام
V1760	Abdiulahi	عبد الله
V1761	Abdiulhi	عبد الله
V1762	Abdiulkadir	عبد القادر
V1763	Abdiullah	عبد الله
V1764	Abdiullahi	عبد الله
V1765	Abdiullh	عبد الله
V1766	Abdiulrhman	عبد الرحمن
V1767	Abdiurahman	عبد الرحمن
V1768	Abdivakhap	عبد الوهاب
V1769	Abdivakhapov	عبد الوهابوف
V1770	Abdivakhapova	عبد الوهابوفا
V1771	Abdivokhid	عبد الواحد
V1772	Abdiwahaab	عبد الوهاب
V1773	Abdiwahab	عبد الوهاب
V1774	Abdiwahed	عبد الواحد
V1775	Abdiwahid	عبد الواحد
V1776	Abdiyousuf	عبد اليوسف
V1777	Abdiyussuf	عبد اليوسف
V1778	Abdiyusuf	عبد اليوسف
V1779	Abdiziz	عبد العزيز
V1780	Abdjabar	عبد الجبار
V1781	Abdjabbar	عبد الجبار
V1782	Abdjalil	عبد الجليل
V1783	Abdkadar	عبد القادر
V1784	Abdkader	عبد القادر
V1785	Abdkadir	عبد القادر
V1786	Abdkadr	عبد القادر
V1787	Abdkani	عبد الغني
V1788	Abdkarem	عبد الكريم
V1789	Abdkarim	عبد الكريم
V1790	Abdkerim	عبد الكريم
V1791	Abdkrym	عبد الكريم
V1792	Abdl	عبد الله
V1793	Abdl aziz	عبد العزيز
V1794	Abdl fath	عبد الفتاح
V1795	Abdl gani	عبد الغني
V1796	Abdl ghani	عبد الغني
V1797	Abdl hadi	عبد الهادي
V1798	Abdl hakim	عبد الحكيم
V1799	Abdl haleem	عبد الحليم
V1800	Abdl halim	عبد الحليم
V1801	Abdl haq	عبد الحق
V1802	Abdl hassan	عبد الحسن
V1803	Abdl hay	عبد الحي
V1804	Abdl hussain	عبد الحسين
V1805	Abdl kader	عبد القادر
V1806	Abdl kalam	عبد الكلام
V1807	Abdl kareem	عبد الكريم
V1808	Abdl karim	عبد الكريم
V1809	Abdl krim	عبد الكريم
V1810	Abdl lah	عبد الله
V1811	Abdl malik	عبد الملك
V1812	Abdl moniem	عبد المنعم
V1813	Abdl muhammed	عبد المحمد
V1814	Abdl qadr	عبد القادر
V1815	Abdl rahaman	عبد الرحمن
V1816	Abdl rahim	عبد الرحيم
V1817	Abdl rahman	عبد الرحمن
V1818	Abdl razaq	عبد الرزاق
V1819	Abdl rizak	عبد الرزاق
V1820	Abdl rouf	عبد الرؤوف
V1821	Abdl rshed	عبد الرشيد
V1822	Abdl salam	عبد السلام
V1823	Abdl samad	عبد الصمد
V1824	Abdl wahid	عبد الواحد
V1825	Abdla	عبد الله
V1826	Abdlah	عبد الله
V1827	Abdlahadi	عبد الهادي
V1828	Abdlahak	عبد الحق
V1829	Abdlahamid	عبد الحميد
V1830	Abdlarhman	عبد الرحمن
V1831	Abdlatif	عبد اللطيف
V1832	Abdlazeez	عبد العزيز
V1833	Abdlazez	عبد العزيز
V1834	Abdlazis	عبد العزيز
V1835	Abdlaziz	عبد العزيز
V1836	Abdlbari	عبد الباريء
V1837	Abdleaziz	عبد العزيز
V1838	Abdlelah	عبد الإله
V1839	Abdlelkader	عبد القادر
V1840	Abdlerahman	عبد الرحمن
V1841	Abdlfatah	عبد الفتاح
V1842	Abdlfath	عبد الفتاح
V1843	Abdlfattah	عبد الفتاح
V1844	Abdlfetah	عبد الفتاح
V1845	Abdlftah	عبد الفتاح
V1846	Abdlgader	عبد القادر
V1847	Abdlgadir	عبد القادر
V1848	Abdlghani	عبد الغني
V1849	Abdlh	عبد الله
V1850	Abdlhabib	عبد الحبيب
V1851	Abdlhadi	عبد الهادي
V1852	Abdlhai	عبد الحي
V1853	Abdlhak	عبد الحق
V1854	Abdlhakim	عبد الحكيم
V1855	Abdlhalim	عبد الحليم
V1856	Abdlhamed	عبد الحميد
V1857	Abdlhameed	عبد الحميد
V1858	Abdlhamid	عبد الحميد
V1859	Abdlhammed	عبد الحميد
V1860	Abdlhaq	عبد الحق
V1861	Abdlhay	عبد الحي
V1862	Abdlhe	عبد الله
V1863	Abdlhkim	عبد الحكيم
V1864	Abdlhussain	عبد الحسين
V1865	Abdliaziz	عبد العزيز
V1866	Abdlihakim	عبد الحكيم
V1867	Abdlirahman	عبد الرحمن
V1868	Abdljabar	عبد الجبار
V1869	Abdljalil	عبد الجليل
V1870	Abdljlil	عبد الجليل
V1871	Abdlkadar	عبد القادر
V1872	Abdlkader	عبد القادر
V1873	Abdlkadir	عبد القادر
V1874	Abdlkadr	عبد القادر
V1875	Abdlkalam	عبد الكلام
V1876	Abdlkani	عبد الغني
V1877	Abdlkareem	عبد الكريم
V1878	Abdlkarem	عبد الكريم
V1879	Abdlkarim	عبد الكريم
V1880	Abdlkerim	عبد الكريم
V1881	Abdlkrem	عبد الكريم
V1882	Abdlkrim	عبد الكريم
V1883	Abdlla	عبد الله
V1884	Abdllah	عبد الله
V1885	Abdllahi	عبد الله
V1886	Abdllatif	عبد اللطيف
V1887	Abdllaziz	عبد العزيز
V1888	Abdlle	عبد الله
V1889	Abdlleh	عبد الله
V1890	Abdllh	عبد الله
V1891	Abdllhadi	عبد الهادي
V1892	Abdllhalim	عبد الحليم
V1893	Abdllhi	عبد الله
V1894	Abdllhy	عبد الحي
V1895	Abdllkader	عبد القادر
V1896	Abdllkadir	عبد القادر
V1897	Abdllkrim	عبد الكريم
V1898	Abdllla	عبد الله
V1899	Abdlllahi	عبد الحي
V1900	Abdlmajd	عبد الماجد
V1901	Abdlmajed	عبد المجيد
V1902	Abdlmajid	عبد المجيد
V1903	Abdlmalik	عبد الملك
V1904	Abdlmjaed	عبد المجيد
V1905	Abdlmlk	عبد الملك
V1906	Abdlmoneim	عبد المنعم
V1907	Abdlmtalab	عبد المطلب
V1908	Abdlnasir	عبد الناصر
V1909	Abdlnasr	عبد الناصر
V1910	Abdlnasser	عبد الناصر
V1911	Abdlnoor	عبد النور
V1912	Abdlnour	عبد النور
V1913	Abdlnur	عبد النور
V1914	Abdlomer	عبد العمر
V1915	Abdlqader	عبد القادر
V1916	Abdlqadir	عبد القادر
V1917	Abdlqadr	عبد القادر
V1918	Abdlrahaman	عبد الرحمن
V1919	Abdlraheem	عبد الرحيم
V1920	Abdlrahem	عبد الرحيم
V1921	Abdlrahim	عبد الرحيم
V1922	Abdlrahmaan	عبد الرحمن
V1923	Abdlrahman	عبد الرحمن
V1924	Abdlrahmen	عبد الرحمن
V1925	Abdlraman	عبد الرحمن
V1926	Abdlraouf	عبد الرؤوف
V1927	Abdlrashed	عبد الرشيد
V1928	Abdlrasheed	عبد الرشيد
V1929	Abdlrashid	عبد الرشيد
V1930	Abdlrauf	عبد الرؤوف
V1931	Abdlrazak	عبد الرزاق
V1932	Abdlrazaq	عبد الرزاق
V1933	Abdlrazik	عبد الرازق
V1934	Abdlrazzaq	عبد الرزاق
V1935	Abdlrehaman	عبد الرحمن
V1936	Abdlrehim	عبد الرحيم
V1937	Abdlrehman	عبد الرحمن
V1938	Abdlrhim	عبد الرحيم
V1939	Abdlrhman	عبد الرحمن
V1940	Abdlrhmn	عبد الرحمن
V1941	Abdlrihman	عبد الرحمن
V1942	Abdlrrahim	عبد الرحيم
